fullname,Level of Maternity Care,fipscode
Laramie,Access to Maternity Care,56021
Lincoln,Low Access to Care,56023
Natrona,Access to Maternity Care,56025
Niobrara,Maternity Care Desert,56027
Park,Access to Maternity Care,56029
Platte,Low Access to Care,56031
Sheridan,Access to Maternity Care,56033
Sublette,Maternity Care Desert,56035
Sweetwater,Access to Maternity Care,56037
Teton,Access to Maternity Care,56039
Uinta,Low Access to Care,56041
Washakie,Low Access to Care,56043
Weston,Maternity Care Desert,56045
